DRUG,MUT_TYPE,Literature-Validated Gene Targets,Number of Validated Targets,Literature-Validated Risk Genes,Number of Validated Risk Genes,Gene Target Article Count,Risk Gene Article Count,Gene Target PMIDs,Risk Gene PMIDs,ACTION,SPECIFIC_FUNCTION,Drug Empirical FDR,Percent Targets Hit
capivasertib,"AMPLIFICATION, SOMATIC","AKT1, AKT2",2,PIK3CA,1,8,17,"15543611, 16002527, 14581353, 17974918, 16778075, 15896313, 12532415","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",AKT1: inhibitor; AKT2: inhibitor,14-3-3 protein binding; ATP binding,0.0174327288985174,100.0
quercetin,"AMPLIFICATION, SOMATIC","ESR1, HCK, STAT3",3,PIK3CA,1,87,34,"16490172, 17498291, 16642480, 17826306, 16224162, 17020778, 17822622, 15498875, 17761947, 17961551, 12532415, 17525119, 11426647, 12440226, 15173005, 11222718, 15613280, 17325127, 12067972, 18326051, 12637586, 11773428, 15592503, 15374974, 12963127, 16503733, 18204781, 17566705, 15715937, 12782602, 12960141, 17122156, 17225522, 17634553, 16158919, 15254691, 18172861, 15947106, 11309301, 17145757, 12640143, 16553031, 12865943, 12162406","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",ESR1: UNKNOWN; HCK: UNKNOWN; STAT3: inhibitor,14-3-3 protein binding; ATP binding; chromatin DNA binding,0.0174327288985174,46.875
debio-1347,"AMPLIFICATION, SOMATIC","FGFR1, FGFR2, FGFR3",3,PIK3CA,1,10,17,"12569015, 12075207, 18059337, 15165306, 16807070, 11562460, 17545628, 11605053","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",FGFR1: inhibitor; FGFR2: inhibitor; FGFR3: inhibitor,ATP binding,0.0178763097865204,100.0
fedratinib,"AMPLIFICATION, SOMATIC",JAK2,1,PIK3CA,1,1,17,15947106,"15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",JAK2: inhibitor,acetylcholine receptor binding,0.0178763097865204,100.0
pacritinib,"AMPLIFICATION, SOMATIC","JAK2, JAK3",2,PIK3CA,1,2,17,"18204781, 15947106","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",JAK2: inhibitor; JAK3: modulator,acetylcholine receptor binding; ATP binding,0.0178763097865204,100.0
tetrabromo-2-benzotriazole,"AMPLIFICATION, SOMATIC","AKT1, CHEK1",2,"PIK3CA, RFC4",2,14,35,"16002527, 14581353, 16888677, 15226608, 17974918, 16778075, 15896313, 12532415","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 16467079, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",AKT1: inhibitor; CHEK1: inhibitor,14-3-3 protein binding; ATP binding,0.0178763097865204,61.111111111111114
alvocidib,"AMPLIFICATION, SOMATIC","CDK4, EGFR",2,PIK3CA,1,325,17,"15804620, 12782800, 17961551, 11389080, 17369752, 17848272, 17205528, 15871288, 12696248, 18045070, 16140980, 11677653, 17211865, 18225590, 12509799, 15057134, 17431103, 17404024, 11846729, 17189989, 14981927, 17224925, 16158919, 18025070, 17936670, 17477349, 16428508, 12415634, 17098420, 14581353, 18369180, 14732836, 17674766, 15592685, 15623643, 16807070, 15756022, 16818711, 16630292, 17685120, 18061531, 15833870, 12966511, 14528090, 17078054, 17956162, 15796181, 16103303, 11895923, 11755824, 17904355, 17121916, 15887238, 18302259, 17410004, 18172732, 15161032, 11173137, 11939730, 17909831, 16496417, 11706397, 17134359, 16737616, 12017338, 16050785, 18366301, 18442098, 15638964, 15987992, 17996216, 12063543, 12860957, 15800944, 16472704, 12747978, 17591832, 16314626, 12447651, 12520461, 17848290, 17236202, 16904111, 11180160, 15120370, 11568571, 18236164, 11303632, 17723181, 15208356, 12220351, 15194221, 12440226, 15672286, 16641105, 14612544, 15785737, 16330971, 17660872, 16027075, 12422313, 11267947, 12228201, 16919867, 15613446, 12607604, 15717992, 12112535, 15103197, 15608420, 14967457, 14967456, 17608727, 16005600, 14601066, 14662414, 15930290, 11221831, 14997212, 11904986, 18383530, 11905034, 18645125, 16740767, 16644882, 18329328, 11448349, 16161046, 11890870, 11992543, 15199094, 12480548, 11920518, 16287490, 17940507, 16198049, 18199957, 18326051, 11911252, 18307254, 18636200, 11555592, 17538163, 13679857, 16757203, 17122988, 15652339, 17258495, 12202783, 15473298, 18202792, 17653341, 18203445, 17139501, 16722544, 16890793, 11673692, 15231207, 17143494, 17487368, 11597399, 11235991, 16357156, 16183941, 11585773, 18248834, 16552236, 17591829, 16565089, 16857823, 12738995, 16540898, 12833132, 15923166, 15827337, 11453659, 17310348, 17638894, 17940077, 11673832, 17631646, 16750322, 17671674, 18377832, 11854069, 15254682, 12743152, 11727507, 14763138, 15865067, 12515612, 16922611, 16088519, 16488438, 12512382, 12142091, 17200208, 14519647, 17762933, 16258434, 12826036, 14607328, 11564579, 15238978, 14649542, 11350885, 15986037, 16248248, 15212612, 17487385, 17609492, 15142631, 15878755, 16082192, 15338866, 17936675, 15736426, 15543230, 14967462, 17964995, 17520580, 17340131, 15809707, 12952019, 12912971, 12167415, 15520205, 16986486, 12599217, 12011992, 16788977, 18309947, 16763281, 11479234, 15878750, 12541404, 17618045, 12212108, 12865874, 17250463, 12647989, 18045071, 12147092, 17208308, 11893453, 17878104, 11556855, 15197768, 17697551, 12544258, 12174340, 17079462, 17520766, 17178880, 15173005, 15645429, 14603452, 12429646, 12187077, 11597400, 12414665, 15599851, 16004931, 17888033, 13129707, 14530163, 15520175, 15821783, 12138239, 15115300, 16525614, 17949783, 16343364, 16422547, 15256466, 16702519, 16007067, 17412519, 17877424, 18268492, 18316548, 16551906, 16984384, 17096332, 11272092, 15833860, 16495180, 12782602, 16273222, 15774576, 12587379, 15450723, 18413807, 15659782, 14977086, 17826531, 12583831, 15934280, 11751491, 17974918, 15791567, 16452236, 14500405, 11728233, 11706420, 17592548, 16144930, 14751528, 16562649, 15816106, 12422310, 12673202, 12539309, 15476268, 14581378, 17141073, 15753456, 16264262, 12820779, 11668514, 16207530, 14988746, 17273794, 16731604","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",CDK4: UNKNOWN; EGFR: UNKNOWN,ATP binding; actin filament binding,0.0184232248586605,41.66666666666667
jnj-28312141,"AMPLIFICATION, SOMATIC","KIT, NTRK3",2,PIK3CA,1,16,34,"16342249, 17253141, 11279608, 16757203, 17935283, 17513510, 17317803, 16630292","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",KIT: inhibitor; NTRK3: inhibitor,ATP binding,0.036590571594284,100.0
momelotinib,"AMPLIFICATION, SOMATIC","JAK2, JAK3",2,PIK3CA,1,4,34,"18204781, 15947106","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",JAK2: inhibitor; JAK3: inhibitor,acetylcholine receptor binding; ATP binding,0.0371418966222708,83.33333333333334
ripretinib,"AMPLIFICATION, SOMATIC","BRAF, KIT, PDGFRA",3,PIK3CA,1,147,34,"16342249, 17179987, 15947100, 17525478, 15630448, 15761501, 16818623, 16906516, 17968324, 17317803, 17786355, 17725429, 17989125, 16728576, 12670889, 17638058, 18043251, 15681856, 17935283, 16630292, 17131411, 17253141, 16946010, 17891234, 16402937, 17684930, 15195111, 17545628, 16757203, 17575107, 16254036, 18376308, 18251569, 17513510, 12907632, 17891251, 18437172, 16932252, 17097223, 16434896, 16555619, 15613458, 16533790, 14499691, 14508525, 17435680, 15161700, 16444351","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",BRAF: inhibitor; KIT: inhibitor; PDGFRA: inhibitor,ATP binding,0.0376819701190743,100.0
